"pagePath","pageviews","uniquePageviews","entrances","bounces","exits"
"/brewery.aspx",17909,9724,9102,4449,6751
"/brewery.aspx/default.aspx",1001,813,793,347,485
"/breweryselect.aspx?Number=1141232045",694,482,263,162,292
"/breweryselect.aspx?Number=9",680,569,321,247,359
"/breweryselect.aspx?Number=1",624,473,48,30,123
"/breweryselect.aspx?Number=1378787929",620,486,24,10,138
"/breweryselect.aspx?Number=4",529,434,261,185,251
"/breweryselect.aspx?Number=25",528,411,275,196,268
"/breweryselect.aspx?Number=17",516,432,232,177,271
"/breweryselect.aspx?Number=3",503,386,145,101,157
"/breweryselect.aspx?Number=19",473,386,148,110,204
"/breweryselect.aspx?Number=28",423,336,190,134,209
"/breweryselect.aspx?Number=-246513754",381,312,20,15,94
"/breweryselect.aspx?Number=1409529362",369,302,15,10,61
"/breweryselect.aspx?Number=26",369,314,123,99,193
"/breweryselect.aspx?Number=22",368,306,146,110,160
"/breweryselect.aspx?Number=2",327,300,27,21,71
"/breweryselect.aspx?Number=1383428876",326,264,14,7,59
"/breweryselect.aspx?Number=1675805874",315,259,61,44,78
"/breweryselect.aspx?Number=21",311,251,53,39,101
"/breweryselect.aspx?Number=1419806571",306,242,12,7,80
"/breweryselect.aspx?Number=13",305,248,41,31,77
"/breweryselect.aspx?Number=1228115555",304,241,8,5,53
"/breweryselect.aspx?Number=1358712596",303,252,74,53,110
"/breweryselect.aspx?Number=1153161445",299,221,16,3,57
"/breweryselect.aspx?Number=11",297,276,118,99,124
"/breweryselect.aspx?Number=27",292,246,42,32,84
"/breweryselect.aspx?Number=972732665",292,205,34,25,68
"/breweryselect.aspx?Number=23",287,216,12,6,33
"/breweryselect.aspx?Number=33",283,224,13,12,68
"/breweryselect.aspx?Number=382973078",275,205,15,8,84
"/breweryselect.aspx?Number=-1687454165",256,211,20,14,68
"/breweryselect.aspx?Number=8",252,198,52,39,63
"/breweryselect.aspx?Number=1124577443",248,204,32,18,54
"/breweryselect.aspx?Number=-255731915",245,190,6,3,36
"/breweryselect.aspx?Number=-1509054667",241,198,36,21,73
"/breweryselect.aspx?Number=-1298513894",236,193,12,8,44
"/breweryselect.aspx?Number=-1962802915",235,191,15,10,52
"/breweryselect.aspx?Number=-365949891",231,200,22,16,67
"/breweryselect.aspx?Number=1309637158",226,189,26,20,63
"/breweryselect.aspx?Number=334101248",225,199,20,18,56
"/breweryselect.aspx?Number=29",215,197,19,16,44
"/breweryselect.aspx?Number=6",209,170,67,51,79
"/breweryselect.aspx?Number=20",208,176,13,10,33
"/breweryselect.aspx?Number=34",207,172,18,14,50
"/breweryselect.aspx?Number=1188043905",206,170,12,10,41
"/breweryselect.aspx?Number=-1438364712",187,158,6,5,26
"/breweryselect.aspx?Number=5",187,140,3,2,25
"/breweryselect.aspx?Number=7",187,178,10,6,29
"/breweryselect.aspx?Number=-285900193",184,158,13,10,58
"/breweryselect.aspx?Number=-119537070",183,138,3,2,40
"/breweryselect.aspx?Number=30",182,145,3,2,21
"/breweryselect.aspx?Number=18",174,144,23,14,48
"/breweryselect.aspx?Number=16",171,127,49,33,61
"/breweryselect.aspx?Number=12",158,142,64,40,57
"/breweryselect.aspx?Number=14",156,119,16,6,40
"/breweryselect.aspx?Number=10",155,144,47,37,62
"/breweryselect.aspx?Number=-13328237",154,125,46,33,55
"/brewery.aspx/brewery.aspx",152,114,9,3,40
"/breweryselect.aspx?Number=24",152,127,57,43,68
"/breweryselect.aspx?Number=-284840261",145,118,5,5,18
"/breweryselect.aspx?Number=32",145,116,8,7,41
"/breweryselect.aspx?Number=1175011653",143,119,10,5,24
"/breweryselect.aspx?Number=462183483",142,117,8,6,20
"/breweryselect.aspx?Number=1326598240",141,125,4,3,19
"/breweryselect.aspx?Number=1124341615",137,112,6,5,22
"/breweryselect.aspx?Number=-654323824",135,111,3,1,31
"/breweryselect.aspx?Number=35",133,112,2,0,17
"/breweryselect.aspx?Number=285329382",130,111,7,3,26
"/breweryselect.aspx?Number=-1838626961",129,105,10,5,23
"/breweryselect.aspx?Number=1318284635",120,106,13,7,27
"/brewery.aspx?City='Vancouver'",119,70,9,9,38
"/breweryselect.aspx?Number=1595044660",116,98,11,11,27
"/breweryselect.aspx?Number=1333913931",115,101,5,3,18
"/breweryselect.aspx?Number=1318138121",113,98,1,1,21
"/breweryselect.aspx?Number=36",105,91,5,5,18
"/breweryselect.aspx?Number=-799487868",97,76,4,2,19
"/breweryselect.aspx?Number=1440985210",93,80,3,3,20
"/breweryselect.aspx?Number=-1618663199",92,72,2,1,17
"/breweryselect.aspx?Number=1172484264",88,70,7,7,11
"/brewery.aspx/breweryselect.aspx?Number=1",80,49,4,3,23
"/breweryselect.aspx?Number=15",75,74,4,1,7
"/breweryselect.aspx?Number=-1690822472",74,51,2,1,10
"/breweryselect.aspx?Number=-39030190",62,57,4,4,9
"/breweryselect.aspx?Number=446336422",59,46,1,1,12
"/brewery.aspx/brands.aspx",56,23,2,0,7
"/brewery.aspx/breweryselect.aspx?Number=1378787929",54,35,3,1,8
"/breweryselect.aspx?Number=1158785113",53,44,1,0,13
"/brewery.aspx?City='Victoria'",52,19,1,1,5
"/breweryselect.aspx?Number=1703270532",52,49,4,2,5
"/brewery.aspx/breweryselect.aspx?Number=-1687454165",35,16,0,0,5
"/brewerycomment.aspx?Number=18",35,32,32,21,24
"/brewery.aspx/breweryselect.aspx?Number=-246513754",33,23,3,2,13
"/brewery.aspx/breweryselect.aspx?Number=30",33,25,15,9,15
"/brewery.aspx/breweryselect.aspx?Number=1383428876",29,18,0,0,5
"/brewery.aspx?City='Kamloops'",26,15,0,0,0
"/brewery.aspx?Region='Lower Mainland'",26,17,6,4,8
"/brewery.aspx/breweryselect.aspx?Number=382973078",26,18,2,1,11
"/brewery.aspx/breweryselect.aspx?Number=1228115555",25,18,3,2,12
"/brewery.aspx/breweryselect.aspx?Number=-255731915",24,17,0,0,5
"/brewery.aspx/breweryselect.aspx?Number=1409529362",23,17,3,1,5
